epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
130,5925.72,0.67576,0.48508,1.02644,0.80528,0.68059,0.75714,0.33947,2.35157,1.0805,3.00843,0.00148916,0.00148916,0.00148916
131,5987.46,0.68321,0.4859,1.0392,0.88273,0.66702,0.76583,0.35568,2.32,0.97939,2.86955,0.0014852,0.0014852,0.0014852
132,6044.03,0.68096,0.48866,1.0259,0.87611,0.68354,0.76691,0.33276,2.44925,1.00958,3.28933,0.00148124,0.00148124,0.00148124
133,6100.03,0.68311,0.49395,1.03808,0.85902,0.72152,0.78588,0.35517,2.386,0.92272,2.94384,0.00147728,0.00147728,0.00147728
134,6152.84,0.66729,0.47559,1.02625,0.78754,0.79767,0.82536,0.36581,2.37264,0.91979,2.99528,0.00147332,0.00147332,0.00147332
135,6197.92,0.65768,0.47845,1.01433,0.88457,0.74684,0.81543,0.34729,2.43183,0.93123,3.18541,0.00146936,0.00146936,0.00146936
136,6247.28,0.6664,0.46886,1.032,0.87187,0.77526,0.83247,0.35197,2.33931,0.88591,2.91357,0.0014654,0.0014654,0.0014654
137,6294.34,0.67652,0.47313,1.03025,0.87155,0.79747,0.825,0.35712,2.38446,0.85471,2.96542,0.00146144,0.00146144,0.00146144
138,6341.27,0.66486,0.47742,1.02842,0.83582,0.79747,0.82061,0.34008,2.40371,0.8904,2.97442,0.00145748,0.00145748,0.00145748
139,6387.52,0.66991,0.46911,1.03337,0.86948,0.75893,0.80302,0.32727,2.40847,0.91819,3.0124,0.00145352,0.00145352,0.00145352
140,6432.35,0.66829,0.46988,1.02975,0.8942,0.79747,0.81913,0.35154,2.34135,0.93035,3.11237,0.00144956,0.00144956,0.00144956
141,6475.6,0.68987,0.48302,1.03898,0.84431,0.82376,0.85504,0.3752,2.37035,0.8918,2.90013,0.0014456,0.0014456,0.0014456
142,6531.79,0.66424,0.4692,1.02231,0.87241,0.77904,0.81945,0.36025,2.31869,0.96583,2.93325,0.00144164,0.00144164,0.00144164
143,6580.89,0.67362,0.48558,1.02555,0.85497,0.67159,0.75342,0.33046,2.39916,0.99928,2.96576,0.00143768,0.00143768,0.00143768
144,6625.71,0.64514,0.45148,1.0155,0.88525,0.78481,0.82061,0.37316,2.32373,0.95152,2.94707,0.00143372,0.00143372,0.00143372
145,6670.68,0.64211,0.46044,1.01981,0.90331,0.75949,0.81668,0.36564,2.35425,0.95087,2.83374,0.00142976,0.00142976,0.00142976
146,6723.59,0.64989,0.46347,1.0195,0.85015,0.74684,0.78931,0.34643,2.38583,1.03238,2.94396,0.0014258,0.0014258,0.0014258
147,6765.14,0.6673,0.47022,1.02758,0.86506,0.72152,0.77443,0.32699,2.47693,0.89412,3.15707,0.00142184,0.00142184,0.00142184
148,6806.77,0.62428,0.44872,1.00386,0.87347,0.73418,0.83318,0.37522,2.37856,1.10185,2.97358,0.00141788,0.00141788,0.00141788
149,6848.73,0.64543,0.45678,1.01399,0.78896,0.67089,0.70006,0.30673,2.49073,1.04313,3.04003,0.00141392,0.00141392,0.00141392
